"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
"133",0.746,0,0.013,0.021,0.22
"134",0.459,0,0.001,0.432,0.108
"135",0.605,0,0.051,0.07,0.274
"136",0.412,0.001,0.009,0.542,0.036
"137",0.273,0.001,0.025,0.206,0.495
"138",0,0.001,0.013,0,0.986
"139",0.208,0,0.038,0.621,0.133
"140",0.128,0,0.014,0.201,0.657
"141",0.585,0.004,0,0.141,0.27
"142",0.439,0.016,0.019,0,0.526
"143",0.238,0,0.124,0.439,0.199
"144",0.497,0,0.028,0.435,0.04
"145",0.528,0.002,0.042,0.28,0.148
"146",0.288,0,0.067,0.556,0.089
"147",0.423,0.006,0.069,0.209,0.293
"148",0.426,0,0.004,0.502,0.068
"149",0,0,0,0,1
"150",0.01,0.005,0.001,0,0.984
"151",0.261,0.003,0.202,0.069,0.465
"152",0.027,0.008,0.176,0.005,0.784
"153",0.453,0.002,0,0.045,0.5
"154",0.013,0,0.026,0.15,0.811
"155",0.537,0.005,0.005,0.017,0.436
"156",0.768,0,0.001,0.11,0.121
"157",0.307,0,0.004,0.583,0.106
"158",0,0.002,0.006,0,0.992
"159",0.304,0.001,0.036,0.295,0.364
"160",0.446,0,0.021,0.343,0.19
"161",0.574,0,0.01,0.135,0.281
"162",0.587,0,0.019,0.106,0.288
"163",0,0.008,0.005,0,0.987
"164",0.995,0,0.001,0.002,0.002
"165",0.222,0.001,0.039,0.598,0.14
"166",0.896,0,0,0.001,0.103
"167",0.626,0.001,0.017,0.186,0.17
"168",0.621,0,0.005,0.179,0.195
"169",0.457,0,0,0.504,0.039
"170",0.586,0.001,0.001,0.068,0.344
"171",0.001,0.004,0.238,0.007,0.75
"172",0.491,0.001,0.002,0.299,0.207
"173",0.309,0,0.041,0.442,0.208
"174",0.123,0,0.147,0.632,0.098
"175",0.4,0.013,0.007,0.505,0.075
"176",0.133,0.026,0.006,0,0.835
"177",0.264,0.001,0.092,0.472,0.171
"178",0.803,0,0.004,0.132,0.061
"179",0.753,0.01,0.019,0.065,0.153
"180",0.044,0.005,0.102,0.066,0.783
"181",0,0,0.005,0.003,0.992
"182",0.548,0.018,0.053,0.011,0.37
"183",0.294,0,0.006,0.296,0.404
"184",0.069,0.002,0.061,0.14,0.728
"185",0.488,0,0.001,0.451,0.06
"186",0.288,0.012,0.036,0.446,0.218
"187",0.003,0,0.006,0.003,0.988
"188",0.559,0.002,0.002,0.333,0.104
"189",0.688,0.001,0.005,0.103,0.203
"190",0.894,0,0,0.019,0.087
"191",0.52,0.002,0.012,0.424,0.042
"192",0.405,0.001,0.05,0.332,0.212
"193",0.171,0,0.095,0.278,0.456
"194",0.455,0,0.008,0.062,0.475
"195",0.797,0.001,0.004,0.049,0.149
"196",0.618,0.007,0.003,0.027,0.345
"197",0.715,0,0,0.239,0.046
"198",0.653,0,0.007,0.303,0.037
"199",0.406,0,0.073,0.394,0.127
"200",0.62,0,0.032,0.186,0.162
"201",0,0.001,0.001,0,0.998
"202",0.378,0.003,0.003,0.09,0.526
"203",0.808,0,0.007,0.139,0.046
"204",0.794,0.001,0.007,0.029,0.169
"205",0.167,0,0.045,0.583,0.205
"206",0.407,0.001,0.008,0.07,0.514
"207",0.488,0,0.008,0.335,0.169
"208",0.178,0,0.091,0.571,0.16
"209",0.372,0,0.01,0.356,0.262
"210",0.75,0,0.002,0.218,0.03
"211",0.001,0.004,0.066,0,0.929
"212",0.207,0.002,0.009,0.55,0.232
"213",0.617,0,0.01,0.329,0.044
"214",0.687,0.004,0.01,0.034,0.265
"215",0,0.012,0.001,0,0.987
"216",0.759,0.001,0.011,0.072,0.157
"217",0.815,0.003,0.012,0.018,0.152
"218",0.255,0,0.084,0.041,0.62
"219",0.582,0,0.022,0.122,0.274
"220",0.179,0,0.027,0.739,0.055
"221",0.053,0,0.048,0.65,0.249
"222",0.01,0.038,0.072,0,0.88
"223",0.174,0.048,0.042,0.002,0.734
"224",0.638,0,0.003,0.28,0.079
"225",0.219,0.001,0.087,0.507,0.186
"226",0.745,0,0.004,0.17,0.081
"227",0.042,0.005,0.196,0,0.757
"228",0.002,0.009,0.012,0.002,0.975
"229",0.503,0,0.041,0.215,0.241
"230",0.003,0.001,0.017,0,0.979
"231",0.95,0,0,0.049,0.001
"232",0.778,0,0.007,0.047,0.168
"233",0.003,0.003,0.012,0,0.982
"234",0.109,0.006,0.273,0.4,0.212
"235",0.298,0.002,0.042,0.588,0.07
"236",0.961,0,0,0.001,0.038
"237",0.282,0,0.008,0.639,0.071
"238",0.015,0.011,0.118,0.055,0.801
"239",0.577,0,0,0.411,0.012
"240",0.853,0,0.011,0.014,0.122
"241",0.934,0,0.001,0.028,0.037
"242",0.336,0,0.002,0.527,0.135
"243",0.881,0,0.004,0.022,0.093
"244",0.298,0.001,0.003,0.244,0.454
"245",0.55,0,0.013,0.155,0.282
"246",0.458,0,0.021,0.4,0.121
"247",0.279,0,0.004,0.115,0.602
"248",0.572,0.008,0.008,0.127,0.285
"249",0.192,0,0.006,0.646,0.156
"250",0.752,0,0.001,0.005,0.242
"251",0,0.008,0.012,0.876,0.104
"252",0.372,0,0.007,0.47,0.151
"253",0,0,0.011,0,0.989
"254",0.231,0,0.066,0.637,0.066
"255",0,0,0.016,0,0.984
"256",0.691,0,0.009,0.12,0.18
"257",0.32,0.002,0.051,0.176,0.451
"258",0.74,0,0.001,0.005,0.254
"259",0.405,0.003,0.015,0.464,0.113
"260",0.952,0,0.002,0.006,0.04
"261",0.822,0,0,0.091,0.087
"262",0.796,0,0.023,0.12,0.061
"263",0.873,0,0.002,0.085,0.04
"264",0.493,0,0.017,0.304,0.186
"265",0.252,0,0.009,0.427,0.312
"266",0.423,0.005,0.039,0.223,0.31
"267",0.02,0.007,0.067,0.003,0.903
"268",0.007,0.019,0.206,0.014,0.754
"269",0,0.008,0.018,0,0.974
"270",0.893,0.001,0.004,0.082,0.02
"271",0.011,0.039,0.049,0,0.901
"272",0.238,0.069,0.222,0.004,0.467
"273",0.059,0.01,0.032,0.338,0.561
"274",0.195,0.008,0.144,0.085,0.568
"275",0.15,0.02,0.335,0.05,0.445
"276",0.005,0.014,0.009,0,0.972
"277",0,0.008,0.02,0,0.972
"278",0.2,0.039,0.089,0.114,0.558
"279",0.229,0.001,0.022,0.121,0.627
"280",0.026,0.005,0.095,0.024,0.85
"281",0.265,0,0.006,0.352,0.377
"282",0.364,0,0.03,0.4,0.206
"283",0,0,0.006,0.004,0.99
"284",0.868,0,0,0.035,0.097
"285",0.074,0,0.104,0.599,0.223
"286",0.502,0,0.016,0.252,0.23
"287",0.006,0.012,0.046,0.002,0.934
"288",0,0,0.051,0,0.949
"289",0.711,0,0.007,0.156,0.126
"290",0.279,0,0.024,0.538,0.159
"291",0.933,0,0.006,0.005,0.056
"292",0.988,0,0,0.003,0.009
"293",0.841,0,0.011,0.039,0.109
"294",0.037,0,0.084,0.042,0.837
"295",0.236,0,0.047,0.667,0.05
"296",0.012,0.002,0.044,0.002,0.94
"297",0.475,0,0.037,0.341,0.147
"298",0.035,0.013,0.178,0.058,0.716
"299",0.477,0,0.02,0.322,0.181
"300",0.478,0,0.005,0.165,0.352
"301",0.503,0.001,0.013,0.441,0.042
"302",0.806,0,0,0.002,0.192
"303",0.978,0,0.002,0.017,0.003
"304",0.633,0,0.018,0.301,0.048
"305",0.002,0.009,0.305,0.022,0.662
"306",0.217,0,0.189,0.539,0.055
"307",0.997,0,0,0.001,0.002
"308",0.447,0,0.003,0.115,0.435
"309",0.741,0,0.001,0.234,0.024
"310",0.095,0.128,0.031,0.004,0.742
"311",0.406,0.001,0.053,0.172,0.368
"312",0.759,0,0.018,0.015,0.208
"313",0.016,0.004,0.119,0.006,0.855
"314",0.486,0,0.011,0.443,0.06
"315",0.005,0.001,0.004,0,0.99
"316",0.501,0.001,0.003,0.463,0.032
"317",0.393,0.002,0.016,0.547,0.042
"318",0.769,0,0.001,0.109,0.121
"319",0.002,0,0.009,0.072,0.917
"320",0.481,0,0.002,0.395,0.122
"321",0.432,0.001,0.013,0.163,0.391
"322",0,0.002,0.001,0,0.997
"323",0,0,0.005,0,0.995
"324",0.857,0.007,0.014,0.007,0.115
"325",0.929,0,0,0.015,0.056
"326",0.992,0,0,0.007,0.001
"327",0.737,0,0.007,0.065,0.191
"328",0.492,0,0.014,0.302,0.192
"329",0.699,0,0.003,0.215,0.083
"330",0.077,0.001,0.092,0.194,0.636
"331",0.23,0,0.188,0.479,0.103
"332",0.001,0,0.006,0,0.993
"333",0.999,0,0,0,0.001
"334",0.442,0,0.002,0.004,0.552
"335",0.007,0.072,0.065,0.017,0.839
"336",0.95,0,0,0.002,0.048
"337",0.004,0.004,0.768,0.007,0.217
"338",0.321,0.002,0.009,0.236,0.432
"339",0.061,0.03,0.212,0.039,0.658
"340",0.615,0.057,0.033,0.226,0.069
"341",0.144,0.001,0.068,0.027,0.76
"342",0.826,0,0.003,0.01,0.161
"343",0.025,0.025,0.444,0.084,0.422
"344",0.578,0,0.018,0.308,0.096
"345",0.702,0,0.005,0.059,0.234
"346",0.541,0.003,0.033,0.269,0.154
"347",0.077,0,0.021,0.771,0.131
"348",0.088,0.004,0.015,0,0.893
"349",0.172,0,0.068,0.652,0.108
"350",0.374,0.002,0.139,0.227,0.258
"351",0.742,0,0.006,0.091,0.161
"352",0,0.001,0.022,0,0.977
"353",0.272,0.026,0.015,0.646,0.041
"354",0.406,0.001,0,0.002,0.591
"355",0.624,0,0.006,0.104,0.266
"356",0.005,0.336,0.164,0,0.495
"357",0.565,0.003,0.011,0.043,0.378
"358",0.529,0,0.002,0.018,0.451
"359",0.226,0.075,0.008,0.002,0.689
"360",0.401,0,0.006,0.015,0.578
"361",0.945,0,0,0,0.055
"362",0.056,0.074,0.029,0.22,0.621
"363",0.314,0,0.014,0.487,0.185
"364",0.852,0.003,0.002,0.018,0.125
"365",0.533,0,0.007,0.028,0.432
"366",0,0.019,0.581,0.006,0.394
"367",0.52,0.002,0.008,0.016,0.454
"368",0.072,0.025,0.485,0.093,0.325
"369",0,0.009,0.079,0.001,0.911
"370",0.436,0.001,0.03,0.064,0.469
"371",0.621,0,0.008,0.287,0.084
"372",0.89,0,0.004,0.025,0.081
"373",0.984,0,0,0.016,0
"374",0.247,0,0.044,0.472,0.237
"375",0,0,0.072,0.004,0.924
"376",0.438,0.002,0.001,0.513,0.046
"377",0.594,0,0.069,0.061,0.276
"378",0.783,0,0.006,0.178,0.033
"379",0.565,0,0.005,0.216,0.214
"380",0.16,0.212,0.011,0.003,0.614
"381",0.875,0.001,0.009,0.017,0.098
"382",0.004,0.019,0.103,0.004,0.87
"383",0.001,0.094,0.075,0.001,0.829
"384",0.003,0.003,0.243,0.005,0.746
"385",0.482,0,0.01,0.361,0.147
"386",0.161,0,0.007,0.542,0.29
"387",0,0,0.044,0,0.956
"388",0.686,0,0.003,0.2,0.111
"389",0.977,0,0,0.004,0.019
"390",1,0,0,0,0
"391",0.06,0.001,0.133,0.474,0.332
"392",0,0,0.005,0,0.995
"393",0.998,0,0,0,0.002
"394",0.001,0.007,0.008,0.002,0.982
"395",0.312,0,0.024,0.363,0.301
"396",0.25,0.009,0.082,0.536,0.123
"397",0.039,0.001,0.236,0.496,0.228
"398",0.444,0.001,0.017,0,0.538
"399",0.628,0.001,0.003,0.257,0.111
"400",0.772,0.004,0.014,0.035,0.175
"401",0.922,0,0.001,0.01,0.067
"402",0.655,0,0.01,0.077,0.258
"403",0.707,0,0.002,0.286,0.005
"404",0,0.008,0.032,0,0.96
"405",0.121,0.006,0.006,0.008,0.859
"406",0.279,0.001,0.023,0.622,0.075
"407",0.495,0,0.003,0.003,0.499
"408",0.153,0,0.028,0.67,0.149
"409",0.951,0.001,0.002,0.028,0.018
"410",0,0.02,0.045,0.001,0.934
"411",0.167,0,0.052,0.568,0.213
"412",0.974,0.001,0,0.004,0.021
"413",0.858,0,0.007,0.067,0.068
"414",0.994,0,0,0.003,0.003
"415",0.291,0.001,0.052,0.508,0.148
"416",0.991,0,0,0.009,0
"417",0.882,0,0.003,0.08,0.035
"418",0.398,0,0.025,0.36,0.217
"419",0.974,0,0.001,0.016,0.009
"420",0.747,0,0.001,0.085,0.167
"421",0.873,0,0,0.088,0.039
"422",0,0.001,0,0,0.999
"423",0.005,0.295,0.053,0,0.647
"424",0.936,0.006,0.002,0.007,0.049
"425",0.49,0,0.021,0.03,0.459
"426",0.004,0.145,0.232,0.052,0.567
"427",0.853,0,0.003,0.013,0.131
"428",0.001,0.002,0.413,0.001,0.583
"429",0.055,0.002,0.002,0.061,0.88
"430",0,0.001,0,0,0.999
"431",0.559,0,0.004,0.041,0.396
"432",0.369,0,0.027,0.55,0.054
"433",0.482,0.003,0.145,0.166,0.204
"434",0.444,0,0.057,0.447,0.052
"435",0,0.016,0.184,0,0.8
"436",0,0,0,0,1
"437",0.425,0.044,0.001,0.042,0.488
"438",0.604,0,0.006,0.289,0.101
"439",0,0,0.008,0.005,0.987
"440",0.58,0.001,0.002,0.026,0.391
"441",0.046,0.055,0.14,0.05,0.709
"442",0.574,0.002,0.016,0.274,0.134
"443",0.878,0.002,0.001,0.054,0.065
"444",0.339,0,0.012,0.561,0.088
"445",0.405,0.001,0.006,0.557,0.031
"446",0.541,0,0.016,0.331,0.112
"447",0.283,0.001,0.025,0.173,0.518
"448",0.131,0.02,0.024,0,0.825
"449",0.746,0.027,0.022,0.009,0.196
"450",0.072,0.005,0.028,0.156,0.739
"451",0,0,0,0,1
"452",0.379,0,0.074,0.073,0.474
"453",0.564,0,0.007,0.353,0.076
"454",0,0,0.043,0,0.957
"455",0.232,0,0.028,0.436,0.304
"456",0.835,0,0.008,0.148,0.009
"457",0.862,0.001,0.001,0.013,0.123
"458",0.095,0.002,0.339,0.238,0.326
"459",0.469,0,0,0.026,0.505
"460",0,0.013,0.049,0,0.938
"461",0.671,0,0.008,0.243,0.078
"462",0.178,0,0.042,0.605,0.175
"463",0,0.003,0.062,0.003,0.932
"464",0.086,0.002,0.177,0.387,0.348
"465",0.563,0.003,0,0.375,0.059
"466",0.782,0,0.002,0.186,0.03
"467",0.012,0.012,0.468,0.051,0.457
"468",0.81,0,0.005,0.162,0.023
"469",0.497,0,0.003,0.131,0.369
"470",0.301,0.001,0.022,0.043,0.633
"471",0.009,0.017,0.034,0,0.94
"472",0.005,0.01,0.518,0.077,0.39
"473",0.864,0.001,0.003,0.007,0.125
"474",0.628,0,0.042,0.3,0.03
"475",0.762,0,0,0.214,0.024
"476",0.784,0,0.018,0.159,0.039
"477",0,0,0.011,0,0.989
"478",0.452,0,0.072,0.389,0.087
"479",0.001,0,0.025,0,0.974
"480",0.992,0.002,0.001,0.001,0.004
"481",0.005,0,0.036,0.807,0.152
"482",0.269,0.006,0.08,0.355,0.29
"483",0.21,0.001,0.03,0.713,0.046
"484",0.012,0.046,0.11,0.079,0.753
"485",0.72,0.031,0.004,0.055,0.19
"486",0.011,0.001,0.127,0.533,0.328
"487",0.899,0,0.001,0.025,0.075
"488",0.496,0,0.034,0.243,0.227
"489",0.271,0.072,0.071,0.003,0.583
"490",0,0.002,0.004,0,0.994
"491",0,0,0.001,0,0.999
"492",0.046,0.005,0.123,0.392,0.434
"493",0.325,0,0.003,0.628,0.044
"494",0.612,0.002,0.006,0.34,0.04
"495",0.094,0.005,0.031,0.089,0.781
"496",0.342,0.003,0.018,0.168,0.469
"497",0.375,0,0.003,0.12,0.502
"498",0.673,0.002,0.016,0.136,0.173
"499",0.74,0,0.001,0.125,0.134
"500",0.28,0,0.088,0.461,0.171
"501",0.716,0.003,0,0.023,0.258
"502",0.288,0,0.042,0.561,0.109
"503",0.578,0.005,0.06,0.116,0.241
"504",0.877,0.003,0.011,0.007,0.102
"505",0.228,0.001,0.012,0.516,0.243
"506",0.482,0.013,0.012,0.343,0.15
"507",0.168,0.003,0.12,0.417,0.292
"508",0.638,0,0.052,0.214,0.096
"509",0.518,0.012,0.129,0.253,0.088
"510",0.633,0,0.001,0,0.366
"511",0.609,0.003,0.002,0.043,0.343
"512",0.08,0,0.024,0.838,0.058
"513",0.728,0,0.009,0.217,0.046
"514",0.159,0.001,0.021,0.007,0.812
"515",0.387,0,0.031,0.483,0.099
"516",0.391,0,0.016,0.176,0.417
"517",0.131,0.004,0.11,0.059,0.696
"518",0.384,0.006,0.014,0.042,0.554
"519",0,0,0,0.001,0.999
"520",0.001,0.003,0.016,0,0.98
"521",0.794,0.001,0.016,0.138,0.051
"522",0.159,0.007,0.013,0.096,0.725
"523",0.934,0,0.016,0.012,0.038
"524",0.326,0,0.035,0.099,0.54
"525",0.758,0.002,0,0.006,0.234
"526",0.229,0,0.035,0.63,0.106
"527",0.575,0,0.004,0.224,0.197
"528",0.217,0.001,0.011,0.626,0.145
"529",0.001,0.003,0.021,0,0.975
"530",0.843,0,0.002,0.011,0.144
"531",0,0.005,0.008,0,0.987
"532",0.48,0,0.025,0.444,0.051
"533",0.773,0,0.001,0.031,0.195
"534",0.884,0,0.004,0.013,0.099
"535",0.021,0.028,0.292,0.002,0.657
"536",0.853,0,0.002,0.009,0.136
"537",0.728,0,0.004,0.211,0.057
"538",0.203,0.003,0.007,0.142,0.645
"539",0.316,0.002,0.023,0.373,0.286
"540",0.016,0,0.28,0.169,0.535
"541",0.007,0.003,0.041,0.674,0.275
"542",0,0,0.005,0,0.995
"543",0.901,0,0.001,0.051,0.047
"544",0.014,0.022,0.126,0.001,0.837
"545",0.004,0.002,0.011,0,0.983
"546",0.642,0.004,0.016,0.27,0.068
"547",0,0,0.01,0,0.99
"548",0.662,0,0.012,0.175,0.151
"549",0.066,0.035,0.249,0.229,0.421
"550",0,0,0.003,0,0.997
"551",0.529,0.002,0.005,0.121,0.343
"552",0.671,0,0.037,0.147,0.145
"553",0.769,0,0.002,0.17,0.059
"554",0.714,0,0,0.017,0.269
"555",0,0.001,0.014,0,0.985
"556",0.19,0.001,0.33,0.035,0.444
"557",0.036,0.003,0.029,0.658,0.274
"558",0.813,0,0.002,0.084,0.101
"559",0.944,0,0,0.006,0.05
"560",0.281,0,0.04,0.555,0.124
"561",0.658,0.003,0.005,0.304,0.03
"562",0.245,0.003,0.07,0.64,0.042
"563",0.024,0,0.16,0.359,0.457
"564",0.808,0,0,0.182,0.01
"565",0.013,0.007,0.185,0.002,0.793
"566",0.62,0.001,0.015,0.178,0.186
"567",0.001,0.012,0.038,0.013,0.936
"568",0.805,0,0.006,0.151,0.038
"569",0.341,0.001,0.008,0.548,0.102
"570",0.655,0,0.011,0.204,0.13
"571",0.857,0.001,0,0.116,0.026
"572",0.28,0,0.007,0.659,0.054
"573",0.04,0,0.154,0.247,0.559
"574",0,0.004,0.058,0,0.938
"575",0.938,0,0,0.022,0.04
"576",0.978,0,0,0.012,0.01
"577",0.435,0,0.05,0.44,0.075
"578",0.131,0,0,0,0.869
"579",0.003,0.007,0.071,0.005,0.914
"580",0.881,0,0.003,0.081,0.035
"581",0.248,0,0.01,0.459,0.283
"582",0,0.001,0.117,0,0.882
"583",0.408,0.001,0.016,0.442,0.133
"584",0.878,0,0,0.077,0.045
"585",0.243,0,0.006,0.127,0.624
"586",0.355,0.011,0.072,0,0.562
"587",0.892,0,0.006,0.007,0.095
"588",0.011,0.005,0.142,0.033,0.809
"589",0.16,0,0.003,0.072,0.765
"590",0.65,0.001,0.022,0.236,0.091
"591",0.684,0,0.006,0.258,0.052
"592",0.32,0.001,0.006,0.533,0.14
"593",0.003,0,0.008,0.001,0.988
"594",0.169,0,0.073,0.635,0.123
"595",0.349,0.01,0.001,0.117,0.523
"596",0.204,0,0.009,0.404,0.383
"597",0.817,0,0.092,0.068,0.023
"598",0.488,0,0.043,0.33,0.139
"599",0.831,0.001,0.003,0.101,0.064
"600",0.148,0.112,0.25,0.002,0.488
"601",0.001,0,0.002,0,0.997
"602",0.488,0,0.006,0.258,0.248
"603",0.508,0,0.028,0.178,0.286
"604",0.017,0.039,0.073,0.417,0.454
"605",0,0.014,0.006,0.005,0.975
"606",0.004,0.009,0.181,0.002,0.804
"607",0.547,0,0.009,0.134,0.31
"608",0.252,0.01,0.385,0.049,0.304
"609",0,0.005,0.018,0,0.977
"610",0.108,0.002,0.09,0.184,0.616
"611",0.645,0,0.018,0.076,0.261
"612",0.545,0,0.007,0.106,0.342
"613",0.841,0,0.002,0.005,0.152
"614",0.321,0.001,0.005,0.087,0.586
"615",0.776,0,0.001,0.043,0.18
"616",0.591,0.001,0.016,0.301,0.091
"617",0.925,0,0.015,0.054,0.006
"618",0.401,0,0.018,0.196,0.385
"619",0.997,0,0.001,0.001,0.001
"620",0.929,0,0.002,0,0.069
"621",0.011,0.046,0.168,0.035,0.74
"622",0.822,0,0.027,0.096,0.055
"623",0.119,0.004,0.062,0.074,0.741
"624",0.307,0,0.041,0.551,0.101
"625",0.455,0.003,0.013,0.303,0.226
"626",0.31,0,0.03,0.043,0.617
"627",0.218,0,0.102,0.22,0.46
"628",0.031,0.137,0.167,0.003,0.662
"629",0.324,0,0,0.668,0.008
"630",0,0,0.047,0,0.953
"631",0.315,0.001,0.061,0.506,0.117
"632",0.873,0,0,0.055,0.072
"633",0.79,0,0.005,0.032,0.173
"634",0.668,0,0.005,0.054,0.273
"635",0,0,0.001,0,0.999
"636",0.31,0.009,0.005,0.004,0.672
"637",0.151,0.002,0,0.003,0.844
"638",0.517,0,0.009,0.212,0.262
"639",0,0,0.013,0,0.987
"640",0.823,0,0,0.01,0.167
"641",0.025,0.015,0.131,0.007,0.822
"642",0.114,0.002,0.005,0,0.879
"643",0,0,0,0,1
"644",0.504,0.001,0.017,0.299,0.179
"645",0.886,0,0.001,0.009,0.104
"646",0.416,0,0.029,0.417,0.138
"647",0.405,0,0.114,0.231,0.25
"648",0,0.003,0.02,0,0.977
"649",0.022,0.011,0.037,0.013,0.917
"650",0,0.029,0.014,0.001,0.956
"651",0,0.006,0.054,0.001,0.939
"652",0.738,0.002,0,0.168,0.092
"653",0.269,0.004,0.01,0.477,0.24
"654",0.911,0.002,0.002,0.017,0.068
"655",0.998,0,0,0.002,0
"656",0.032,0.002,0.006,0.148,0.812
"657",0.035,0.021,0.063,0.025,0.856
