"ID","Adoption","Died","Euthanasia","Return_to_owner","Transfer"
"227",0.02,0,0.015,0,0.965
"228",0.014,0.008,0.019,0.003,0.956
"229",0.123,0,0.006,0.784,0.087
"230",0,0,0,0,1
"231",0.999,0,0,0,0.001
"232",0.924,0,0,0.042,0.034
"233",0.029,0.004,0.01,0,0.957
"234",0.107,0.005,0.178,0.545,0.165
"235",0.51,0,0.013,0.463,0.014
"236",0.988,0,0,0,0.012
"237",0.128,0,0,0.72,0.152
"238",0.008,0.002,0.027,0.009,0.954
"239",0.956,0,0,0.044,0
"240",0.84,0,0.014,0.021,0.125
"241",0.888,0,0.001,0.018,0.093
"242",0.353,0,0,0.599,0.048
"243",0.968,0,0.001,0.002,0.029
"244",0.821,0,0.001,0.02,0.158
"245",0.199,0,0.008,0.755,0.038
"246",0.623,0,0,0.377,0
"247",0.914,0,0.004,0.014,0.068
"248",0.959,0,0,0,0.041
"249",0.072,0,0,0.905,0.023
"250",0.993,0,0,0,0.007
"251",0.003,0.007,0.03,0.169,0.791
"252",0.505,0,0.001,0.488,0.006
"253",0.003,0,0,0,0.997
"254",0.3,0,0.001,0.697,0.002
"255",0,0,0,0,1
"256",0.468,0,0.002,0.504,0.026
"257",0.264,0,0.053,0.247,0.436
"258",0.975,0,0.002,0,0.023
"259",0.286,0,0.013,0.682,0.019
"260",0.958,0,0,0,0.042
"261",0.958,0,0,0.01,0.032
"262",0.968,0,0,0.012,0.02
"263",0.928,0,0,0.069,0.003
"264",0.209,0,0.017,0.45,0.324
"265",0.287,0,0.002,0.458,0.253
"266",0.429,0.002,0.021,0.093,0.455
"267",0.003,0.005,0.026,0.005,0.961
"268",0.003,0,0.018,0,0.979
"269",0.001,0.002,0,0,0.997
"270",0.972,0,0,0.014,0.014
"271",0.004,0,0,0,0.996
"272",0.042,0.005,0.062,0.003,0.888
"273",0.045,0,0.017,0.105,0.833
"274",0.811,0.002,0.019,0.019,0.149
"275",0.136,0.021,0.249,0.051,0.543
"276",0,0,0.001,0,0.999
"277",0.001,0.002,0,0,0.997
"278",0.287,0,0.206,0.043,0.464
"279",0.235,0.001,0.075,0.102,0.587
"280",0.031,0,0,0,0.969
"281",0.183,0,0,0.767,0.05
"282",0.382,0.001,0.008,0.433,0.176
"283",0.001,0,0,0,0.999
"284",0.979,0,0,0,0.021
"285",0.111,0,0.009,0.833,0.047
"286",0.109,0,0,0.85,0.041
"287",0,0.025,0.002,0,0.973
"288",0,0,0.001,0,0.999
"289",0.997,0,0,0.002,0.001
"290",0.12,0,0,0.84,0.04
"291",0.936,0,0,0,0.064
"292",0.999,0,0,0,0.001
"293",0.807,0,0.001,0.002,0.19
"294",0.004,0,0.021,0.04,0.935
"295",0.3,0,0.001,0.697,0.002
"296",0.001,0,0,0,0.999
"297",0.67,0,0,0.33,0
"298",0.017,0.008,0.042,0.007,0.926
"299",0.657,0,0.009,0.315,0.019
"300",0.638,0,0,0.022,0.34
"301",0.3,0,0.001,0.697,0.002
"302",0.933,0,0,0,0.067
"303",0.954,0,0.002,0.018,0.026
"304",0.416,0,0,0.554,0.03
"305",0.005,0.002,0.364,0.065,0.564
"306",0.495,0.001,0.009,0.438,0.057
"307",0.999,0,0,0,0.001
"308",0.159,0,0,0.023,0.818
"309",0.44,0,0,0.009,0.551
"310",0.175,0.011,0.006,0,0.808
"311",0.321,0,0.113,0.036,0.53
"312",0.783,0,0.004,0,0.213
"313",0.003,0,0,0,0.997
"314",0.286,0,0,0.712,0.002
"315",0.028,0,0.001,0,0.971
"316",0.596,0,0,0.395,0.009
"317",0.576,0,0,0.411,0.013
"318",0.822,0,0,0.019,0.159
"319",0.013,0,0.055,0.021,0.911
"320",0.507,0,0,0.471,0.022
"321",0.653,0,0.045,0.259,0.043
"322",0.001,0,0.001,0,0.998
"323",0,0,0.01,0,0.99
"324",0.863,0,0.005,0.004,0.128
"325",0.999,0,0,0,0.001
"326",0.999,0,0,0,0.001
"327",0.771,0,0,0.066,0.163
"328",0.697,0,0,0.301,0.002
"329",0.862,0,0.012,0.101,0.025
"330",0.056,0.001,0.068,0.285,0.59
"331",0.243,0,0.004,0.713,0.04
"332",0,0,0,0,1
"333",0.999,0,0,0,0.001
"334",0.857,0,0,0.01,0.133
"335",0.005,0.022,0.063,0.058,0.852
"336",0.998,0,0,0,0.002
"337",0.003,0.002,0.544,0.004,0.447
"338",0.766,0,0,0.055,0.179
"339",0.061,0.002,0.132,0.016,0.789
"340",0.765,0,0,0.235,0
"341",0.362,0.006,0.155,0.04,0.437
"342",0.999,0,0,0,0.001
"343",0.016,0.007,0.354,0.084,0.539
"344",0.868,0,0.004,0.07,0.058
"345",0.999,0,0,0,0.001
"346",0.531,0,0,0.419,0.05
"347",0.057,0,0.004,0.893,0.046
"348",0.055,0.001,0,0,0.944
"349",0.304,0,0,0.582,0.114
"350",0.435,0,0.16,0.315,0.09
"351",0.965,0,0,0.022,0.013
"352",0,0,0.011,0,0.989
"353",0.356,0,0.002,0.64,0.002
"354",0.958,0,0,0.001,0.041
"355",0.879,0,0,0.025,0.096
"356",0,0,0,0,1
"357",0.683,0,0.007,0.015,0.295
"358",0.607,0,0.003,0.014,0.376
"359",0.031,0,0,0,0.969
"360",0.523,0.002,0.006,0.021,0.448
"361",0.978,0,0,0,0.022
"362",0.077,0.044,0.012,0.136,0.731
"363",0.14,0,0.002,0.752,0.106
"364",0.804,0,0.001,0.088,0.107
"365",0.991,0,0,0,0.009
"366",0.002,0.006,0.244,0.001,0.747
"367",0.716,0.001,0.001,0.025,0.257
"368",0.044,0.008,0.354,0.071,0.523
"369",0.002,0.014,0.141,0.001,0.842
"370",0.73,0.003,0.014,0.032,0.221
"371",0.877,0,0.002,0.052,0.069
"372",0.893,0,0,0.004,0.103
"373",0.999,0,0,0,0.001
"374",0.109,0,0,0.754,0.137
"375",0,0,0.005,0,0.995
"376",0.677,0,0,0.323,0
"377",0.889,0,0,0.013,0.098
"378",0.863,0,0.001,0.028,0.108
"379",0.736,0,0.001,0.115,0.148
"380",0.031,0,0,0,0.969
"381",0.912,0.001,0.006,0.001,0.08
"382",0.075,0.021,0.068,0.003,0.833
"383",0.005,0.001,0.022,0,0.972
"384",0.006,0.009,0.331,0.002,0.652
"385",0.45,0,0.001,0.51,0.039
"386",0.272,0,0.006,0.645,0.077
"387",0.003,0,0,0,0.997
"388",0.938,0,0.001,0.039,0.022
"389",0.999,0,0,0,0.001
"390",0.999,0,0,0,0.001
"391",0.06,0.001,0.097,0.473,0.369
"392",0,0,0,0,1
"393",0.999,0,0,0,0.001
"394",0.035,0.006,0.028,0.011,0.92
"395",0.184,0,0.004,0.77,0.042
"396",0.64,0,0,0.36,0
"397",0.062,0,0.041,0.772,0.125
"398",0.133,0,0,0,0.867
"399",0.921,0,0,0.073,0.006
"400",0.704,0,0.029,0.022,0.245
"401",0.922,0,0,0,0.078
"402",0.85,0,0,0.017,0.133
"403",0.991,0,0,0.008,0.001
"404",0,0,0,0,1
"405",0.946,0,0,0,0.054
"406",0.378,0,0,0.617,0.005
"407",0.842,0,0.001,0.004,0.153
"408",0.223,0,0.008,0.669,0.1
"409",1,0,0,0,0
"410",0.002,0,0.025,0,0.973
"411",0.168,0.001,0.038,0.329,0.464
"412",0.977,0,0,0,0.023
"413",0.992,0,0,0.007,0.001
"414",0.992,0,0,0.003,0.005
"415",0.464,0,0.013,0.516,0.007
"416",0.999,0,0,0,0.001
"417",0.888,0,0,0.111,0.001
"418",0.106,0,0,0.893,0.001
"419",0.999,0,0,0,0.001
"420",0.992,0,0,0,0.008
"421",0.945,0,0.001,0.031,0.023
"422",0,0,0,0,1
"423",0.005,0.14,0.002,0,0.853
"424",0.923,0.009,0.001,0.003,0.064
"425",0.301,0,0.04,0.067,0.592
"426",0.018,0.07,0.162,0.005,0.745
"427",0.968,0,0.001,0.002,0.029
"428",0.002,0,0,0,0.998
"429",0.051,0,0,0.074,0.875
"430",0.003,0,0,0,0.997
"431",0.595,0,0,0.002,0.403
"432",0.286,0,0,0.712,0.002
"433",0.973,0,0,0.005,0.022
"434",0.763,0,0.01,0.212,0.015
"435",0,0,0,0,1
"436",0,0,0,0,1
"437",0.99,0,0,0,0.01
"438",0.386,0,0.003,0.607,0.004
"439",0,0,0.001,0,0.999
"440",0.831,0,0.002,0.002,0.165
"441",0.034,0.007,0.105,0.021,0.833
"442",0.857,0,0.005,0.082,0.056
"443",0.902,0.003,0.008,0.02,0.067
"444",0.415,0,0.002,0.554,0.029
"445",0.352,0,0.002,0.635,0.011
"446",0.83,0,0.019,0.146,0.005
"447",0.238,0.001,0.001,0.068,0.692
"448",0.288,0.009,0.007,0.004,0.692
"449",0.553,0.02,0.007,0.001,0.419
"450",0.038,0,0,0.005,0.957
"451",0.003,0,0,0,0.997
"452",0.443,0,0.006,0.013,0.538
"453",0.848,0,0,0.148,0.004
"454",0,0,0.145,0,0.855
"455",0.347,0,0.01,0.64,0.003
"456",0.751,0,0,0.247,0.002
"457",0.969,0,0.003,0,0.028
"458",0.013,0,0.262,0.41,0.315
"459",0.99,0,0,0,0.01
"460",0,0,0,0,1
"461",0.926,0,0,0.042,0.032
"462",0.178,0,0,0.742,0.08
"463",0.005,0,0,0,0.995
"464",0.18,0.002,0.012,0.235,0.571
"465",0.485,0,0,0.51,0.005
"466",0.969,0,0,0.017,0.014
"467",0.001,0,0.019,0.214,0.766
"468",0.951,0,0.003,0.016,0.03
"469",0.651,0,0,0.049,0.3
"470",0.26,0,0.043,0.042,0.655
"471",0.001,0,0.002,0,0.997
"472",0.003,0.006,0.738,0.033,0.22
"473",0.79,0.004,0.007,0.015,0.184
"474",0.461,0,0.005,0.532,0.002
"475",0.977,0,0,0.023,0
"476",0.998,0,0,0,0.002
"477",0.001,0,0,0,0.999
"478",0.505,0,0.001,0.488,0.006
"479",0.001,0,0,0,0.999
"480",0.998,0,0,0,0.002
"481",0.001,0,0.016,0.911,0.072
"482",0.38,0.001,0.032,0.221,0.366
"483",0.441,0,0,0.558,0.001
"484",0.003,0.071,0.035,0,0.891
"485",0.657,0.019,0.018,0.062,0.244
"486",0.003,0,0.038,0.684,0.275
"487",0.976,0,0,0.016,0.008
"488",0.747,0,0.029,0.097,0.127
"489",0.273,0.047,0.031,0.001,0.648
"490",0,0,0,0,1
"491",0,0,0,0,1
"492",0.027,0.001,0.096,0.409,0.467
"493",0.251,0,0,0.741,0.008
"494",0.532,0,0,0.463,0.005
"495",0.053,0,0.003,0.119,0.825
"496",0.194,0.001,0.051,0.206,0.548
"497",0.996,0,0,0,0.004
"498",0.796,0,0.003,0.043,0.158
"499",0.888,0,0,0.001,0.111
"500",0.457,0,0.019,0.482,0.042
"501",0.556,0.002,0.012,0,0.43
"502",0.546,0,0,0.452,0.002
"503",0.947,0,0,0,0.053
"504",0.926,0.001,0.008,0.005,0.06
"505",0.374,0,0.001,0.597,0.028
"506",0.207,0,0.002,0.739,0.052
"507",0.171,0.002,0.146,0.411,0.27
"508",0.297,0,0.001,0.692,0.01
"509",0.397,0,0.042,0.168,0.393
"510",0.941,0,0,0,0.059
"511",0.914,0,0,0.008,0.078
"512",0.258,0,0,0.727,0.015
"513",0.97,0,0,0.01,0.02
"514",0.501,0,0.004,0.001,0.494
"515",0.588,0,0.001,0.365,0.046
"516",0.413,0,0.006,0.088,0.493
"517",0.678,0,0,0,0.322
"518",0.874,0,0.001,0.031,0.094
"519",0,0,0,0,1
"520",0,0.001,0.026,0,0.973
"521",0.938,0,0,0.059,0.003
"522",0.304,0.164,0.016,0.079,0.437
"523",0.999,0,0,0,0.001
"524",0.295,0,0.048,0.055,0.602
"525",0.888,0,0,0,0.112
"526",0.454,0,0.026,0.504,0.016
"527",0.974,0,0.001,0.017,0.008
"528",0.353,0,0,0.599,0.048
"529",0.04,0,0.024,0,0.936
"530",0.978,0,0,0,0.022
"531",0,0,0,0,1
"532",0.584,0,0.003,0.403,0.01
"533",0.742,0,0,0.004,0.254
"534",0.955,0,0,0.008,0.037
"535",0.001,0,0,0,0.999
"536",0.836,0,0.001,0.043,0.12
"537",0.991,0,0,0.004,0.005
"538",0.902,0,0,0,0.098
"539",0.299,0,0.009,0.649,0.043
"540",0.033,0,0.272,0.432,0.263
"541",0.038,0,0.058,0.168,0.736
"542",0,0,0,0,1
"543",0.984,0,0.009,0.006,0.001
"544",0.003,0.014,0.196,0,0.787
"545",0,0.002,0.012,0,0.986
"546",0.897,0,0.008,0.064,0.031
"547",0,0,0.021,0,0.979
"548",0.995,0,0,0,0.005
"549",0.021,0.044,0.573,0.035,0.327
"550",0,0,0,0,1
"551",0.857,0,0,0.039,0.104
"552",0.918,0,0.001,0.04,0.041
"553",0.855,0,0,0.119,0.026
"554",0.972,0,0,0,0.028
"555",0,0.001,0.057,0.004,0.938
"556",0.274,0,0.055,0.042,0.629
"557",0.005,0.002,0.004,0.664,0.325
"558",0.87,0,0.001,0.121,0.008
"559",0.992,0,0,0,0.008
"560",0.183,0,0,0.767,0.05
"561",0.733,0,0,0.251,0.016
"562",0.298,0,0.001,0.695,0.006
"563",0.037,0.001,0.089,0.366,0.507
"564",0.986,0,0,0.009,0.005
"565",0.003,0,0,0,0.997
"566",0.801,0,0,0.043,0.156
"567",0.002,0.005,0.107,0.017,0.869
"568",0.899,0,0.003,0.062,0.036
"569",0.442,0,0,0.554,0.004
"570",0.918,0,0.001,0.04,0.041
"571",0.928,0,0.003,0.042,0.027
"572",0.302,0,0,0.698,0
"573",0.029,0,0.035,0.35,0.586
"574",0.018,0,0.035,0,0.947
"575",0.94,0,0,0.008,0.052
"576",0.999,0,0,0,0.001
"577",0.373,0,0,0.624,0.003
"578",0.682,0.001,0.001,0,0.316
"579",0.011,0,0,0,0.989
"580",1,0,0,0,0
"581",0.17,0,0.005,0.653,0.172
"582",0.002,0,0,0,0.998
"583",0.47,0.004,0.001,0.52,0.005
"584",0.999,0,0,0,0.001
"585",0.267,0,0.008,0.019,0.706
"586",0.23,0,0.112,0,0.658
"587",0.871,0,0.001,0.002,0.126
"588",0.015,0.003,0.022,0.008,0.952
"589",0.162,0,0,0.017,0.821
"590",0.938,0,0,0.059,0.003
"591",0.61,0,0.003,0.36,0.027
"592",0.908,0,0,0.092,0
"593",0.002,0,0,0,0.998
"594",0.262,0,0.015,0.648,0.075
"595",0.98,0,0,0,0.02
"596",0.42,0,0,0.525,0.055
"597",0.949,0,0.006,0.01,0.035
"598",0.404,0,0.008,0.574,0.014
"599",0.899,0,0.004,0.08,0.017
"600",0.139,0.014,0.074,0,0.773
"601",0,0,0,0,1
"602",0.793,0,0.003,0.093,0.111
"603",0.377,0,0.008,0.048,0.567
"604",0.039,0.002,0.045,0.54,0.374
"605",0.004,0,0.003,0,0.993
"606",0,0,0,0,1
"607",0.882,0,0.001,0.056,0.061
"608",0.245,0.003,0.163,0.032,0.557
"609",0.004,0,0,0,0.996
"610",0.115,0,0.019,0.293,0.573
"611",0.802,0,0,0.062,0.136
"612",0.573,0,0.001,0.039,0.387
"613",0.935,0,0,0.001,0.064
"614",0.251,0,0,0.008,0.741
"615",0.987,0,0,0,0.013
"616",0.676,0,0.001,0.3,0.023
"617",0.988,0,0,0.006,0.006
"618",0.12,0,0.003,0.824,0.053
"619",0.999,0,0,0,0.001
"620",0.999,0,0,0,0.001
"621",0.008,0.017,0.042,0.004,0.929
"622",0.855,0,0.001,0.048,0.096
"623",0.126,0.011,0.169,0.034,0.66
"624",0.353,0,0,0.636,0.011
"625",0.136,0,0.001,0.783,0.08
"626",0.17,0,0.039,0.313,0.478
"627",0.229,0,0,0.117,0.654
"628",0,0,0.002,0,0.998
"629",0.405,0,0,0.592,0.003
"630",0.001,0,0,0,0.999
"631",0.279,0,0,0.693,0.028
"632",0.992,0,0,0.001,0.007
"633",0.977,0,0,0.001,0.022
"634",0.854,0,0,0.002,0.144
"635",0.011,0,0,0,0.989
"636",0.554,0,0,0,0.446
"637",0.842,0,0,0,0.158
"638",0.941,0,0,0.003,0.056
"639",0,0,0,0,1
"640",0.999,0,0,0,0.001
"641",0.005,0,0,0,0.995
"642",0.039,0,0,0,0.961
"643",0,0,0,0,1
"644",0.374,0.005,0.005,0.577,0.039
"645",0.976,0,0,0.004,0.02
"646",0.615,0,0,0.382,0.003
"647",0.37,0,0.02,0.333,0.277
"648",0.005,0,0,0,0.995
"649",0.006,0.001,0.04,0.009,0.944
"650",0.001,0,0,0,0.999
"651",0,0,0.002,0,0.998
"652",0.974,0,0,0.012,0.014
"653",0.155,0,0.001,0.732,0.112
"654",0.966,0,0.001,0,0.033
"655",0.999,0,0,0,0.001
"656",0.055,0,0,0.055,0.89
"657",0.085,0.021,0.024,0.036,0.834
"658",0.977,0,0,0.023,0
"659",0.978,0,0,0,0.022
"660",0.666,0,0.003,0.308,0.023
"661",0.006,0,0,0,0.994
"662",0.955,0,0,0.008,0.037
"663",0.749,0,0.002,0.145,0.104
"664",0.292,0,0,0.691,0.017
"665",0.862,0,0,0.13,0.008
"666",0.985,0,0,0.015,0
"667",0.809,0,0.06,0.051,0.08
"668",0.768,0,0,0.083,0.149
"669",0.892,0,0,0.089,0.019
"670",0.975,0,0.002,0.018,0.005
"671",0.129,0,0,0.002,0.869
"672",0.625,0,0.002,0.101,0.272
"673",0,0,0,0,1
"674",0.533,0,0,0.464,0.003
"675",0.962,0,0,0.008,0.03
"676",0,0,0.001,0,0.999
"677",0,0.005,0.006,0,0.989
"678",0.082,0,0.014,0.06,0.844
"679",0.09,0,0.008,0.075,0.827
"680",0.479,0,0.033,0.357,0.131
"681",0.074,0,0.005,0.221,0.7
"682",0.407,0,0,0.588,0.005
"683",0.957,0,0,0.011,0.032
"684",0.997,0,0,0.003,0
"685",0.466,0,0.038,0.485,0.011
"686",0.514,0,0.003,0.463,0.02
"687",0,0,0.004,0,0.996
"688",0.822,0,0.007,0.008,0.163
"689",0.208,0,0.007,0.192,0.593
"690",0.948,0,0.005,0,0.047
"691",0.475,0,0.006,0.434,0.085
"692",0.979,0,0,0,0.021
"693",0.531,0,0.032,0.382,0.055
"694",0.106,0,0,0.893,0.001
"695",0.151,0,0.009,0.142,0.698
"696",0,0,0,0,1
"697",0.4,0,0.028,0.518,0.054
"698",0.017,0,0.026,0.002,0.955
"699",0.045,0,0.004,0.3,0.651
"700",0.016,0.001,0.09,0.461,0.432
"701",0.279,0.004,0.299,0.012,0.406
"702",0.924,0,0.002,0.048,0.026
"703",0.033,0,0,0,0.967
"704",0.555,0,0.022,0.002,0.421
"705",0.868,0.001,0.002,0.007,0.122
"706",0.873,0.002,0.003,0.008,0.114
"707",0.972,0,0,0.009,0.019
"708",0.071,0.001,0.014,0.152,0.762
"709",0.953,0,0.002,0.045,0
"710",0.931,0,0,0.067,0.002
"711",0.31,0,0,0.69,0
"712",0.995,0,0,0,0.005
"713",0.003,0,0,0,0.997
"714",0.59,0,0.003,0.19,0.217
"715",0.631,0,0,0.011,0.358
